n_block,data_size,seed,model,loss,symmetry_error,n_params
5,50,4,shared,2.1916534900665283,1.808500940149449e-12,651
5,50,4,vanilla_aug,2.7330570220947266,1.6654361486434937,7801
5,50,4,shared_aug,5.309161186218262,2.0875744980320549e-13,651
5,100,0,vanilla,2.7840185165405273,3.997220993041992,7801
5,100,0,shared,106.26859283447266,2.4475005152451747e-14,651
5,100,0,vanilla_aug,1.7273063659667969,1.1228606700897217,7801
5,100,0,shared_aug,0.9606634378433228,2.758895108895265e-12,651
5,100,1,vanilla,4.821639060974121,2.381828784942627,7801
5,100,1,shared,1.117270827293396,9.862498187920843e-13,651
5,100,1,vanilla_aug,3.64070200920105,0.8044468760490417,7801
5,100,1,shared_aug,0.7189196348190308,1.5022381125509576e-12,651
5,100,2,vanilla,16.829822540283203,10.962431907653809,7801
5,100,2,shared,2.0276777744293213,3.395763488109327e-12,651
5,100,2,vanilla_aug,2.174201250076294,0.6919227838516235,7801
5,100,2,shared_aug,1.9064571857452393,6.951948782266126e-13,651
5,100,3,vanilla,3.067577838897705,1.9322038888931274,7801
5,100,3,shared,1.1941543817520142,1.2962462049917467e-12,651
5,100,3,vanilla_aug,2.7523341178894043,1.128501057624817,7801
5,100,3,shared_aug,1.3463395833969116,1.2409716266745252e-12,651
5,100,4,vanilla,4.229167938232422,3.3367886543273926,7801
5,100,4,shared,1.0119562149047852,3.816680044926857e-12,651
5,100,4,vanilla_aug,3.0364022254943848,1.4980283975601196,7801
5,100,4,shared_aug,0.8369976878166199,7.596322008918133e-12,651
5,500,0,vanilla,2.1419830322265625,1.1340209245681763,7801
5,500,0,shared,86.1216049194336,2.7085885956541246e-14,651
5,500,0,vanilla_aug,1.0772758722305298,0.15567411482334137,7801
5,500,0,shared_aug,0.6645262241363525,1.106902763892137e-12,651
5,500,1,vanilla,2.4182369709014893,0.9003694653511047,7801
5,500,1,shared,0.28503960371017456,1.9140004251655407e-12,651
5,500,1,vanilla_aug,1.3681873083114624,0.3551490306854248,7801
5,500,1,shared_aug,0.24097347259521484,1.2394577551810837e-12,651
5,500,2,vanilla,1.1303142309188843,1.3325541019439697,7801
5,500,2,shared,0.21055001020431519,5.493574779108501e-12,651
5,500,2,vanilla_aug,0.5715692043304443,0.1763790100812912,7801
5,500,2,shared_aug,0.4449378252029419,1.1593700175241417e-12,651
5,500,3,vanilla,1.5905978679656982,1.2631237506866455,7801
5,500,3,shared,0.15682841837406158,3.193389996880569e-12,651
5,500,3,vanilla_aug,1.0321855545043945,0.3233245313167572,7801
5,500,3,shared_aug,0.5299714803695679,3.5937687287851405e-12,651
5,500,4,vanilla,1.942144513130188,1.2132936716079712,7801
5,500,4,shared,0.4024173617362976,3.640349306721635e-12,651
5,500,4,vanilla_aug,0.936207115650177,0.2906239628791809,7801
5,500,4,shared_aug,0.5769218802452087,4.2880668633948904e-12,651
5,1000,0,vanilla,1.645302176475525,0.7706520557403564,7801
5,1000,0,shared,0.5846502780914307,4.385298374431912e-11,651
5,1000,0,vanilla_aug,0.9658339619636536,0.23334956169128418,7801
5,1000,0,shared_aug,0.5005862712860107,5.370427366702124e-11,651
5,1000,1,vanilla,1.2931244373321533,0.6971200704574585,7801
5,1000,1,shared,0.32346126437187195,2.921259371554963e-12,651
5,1000,1,vanilla_aug,0.879241406917572,0.25306692719459534,7801
5,1000,1,shared_aug,0.28589484095573425,2.188059195634695e-12,651
5,1000,2,vanilla,1.1315158605575562,0.7163692712783813,7801
5,1000,2,shared,0.25527727603912354,5.003714022983052e-12,651
5,1000,2,vanilla_aug,0.6677406430244446,0.23884090781211853,7801
5,1000,2,shared_aug,0.5035664439201355,2.5672131521298214e-12,651
5,1000,3,vanilla,1.7942900657653809,0.7958673238754272,7801
5,1000,3,shared,0.3250109553337097,2.7410961955104396e-12,651
5,1000,3,vanilla_aug,0.6024881601333618,0.14284202456474304,7801
5,1000,3,shared_aug,0.1474742740392685,5.204476606623931e-12,651
5,1000,4,vanilla,1.1083917617797852,0.5157070755958557,7801
5,1000,4,shared,0.5447115302085876,5.769776149910921e-12,651
5,1000,4,vanilla_aug,0.8125883340835571,0.19300693273544312,7801
5,1000,4,shared_aug,0.7253010272979736,1.2942679913918731e-11,651
5,5000,0,vanilla,0.8393604755401611,0.19969484210014343,7801
5,5000,0,shared,0.43713220953941345,8.083303471018155e-11,651
5,5000,0,vanilla_aug,0.3202928602695465,0.1621130406856537,7801
5,5000,0,shared_aug,0.38742154836654663,1.976437459874636e-12,651
